"PhiloteId","PrimitiveLanguageKindId","Name","Description"
"4f6dbde9-52f2-4d3f-82a1-7b9f3a6c4d85","1","<cs-source-file>","Top-level container for a .cs file"
"8b9e0f19-5272-4c1f-90db-e1e6b0c5d3f2","1","<using-directive>","Imports a namespace, static members, or creates an alias"
"d3f0f6b9-1eae-4a8d-9a6f-5d8f2410c8a4","1","<namespace-block-declaration>","Declares a namespace using block syntax"
"2f4a8073-b7c8-432e-aac7-65f6063a1e2a","1","<single-line-comment>","Single-line C# comment (//)"
"0fbb4f0d-917d-4b60-8db1-9d9e3de5712f","1","<access-modifier>","Visibility modifier (public, protected, internal, private)"
"a4efb6e5-58f0-4603-94ae-45b62c323d0b","1","<type-parameter-list>","Generic type parameter list <T1, T2, ...>"
"8ad77df8-8366-40f8-99b5-ff2a2a8d5da9","1","<type-constraint-clause>","Generic where constraint clause"
"3e8eac46-1e1a-4b80-a5f1-406cc6f5d0f1","1","<base-type-list>","Base class and interface inheritance list"
"b7f87746-72af-4632-9dd9-05f833b3a8e8","1","<type-reference>","Reference to a named type"
"6a972b5b-5da7-4a73-b5d6-564e1b305a0b","1","<interface-declaration>","Declares a C# interface"
"6d2e4c24-4f59-487f-9e6d-2e65f97a6dd0","1","<property-declaration>","Auto or full property declaration"
"2c75c902-3a6c-4c28-8f0f-1b8d6f45fefa","1","<attribute-list>","Attribute annotation [...] list"
"5c1f93b8-6db5-4aaf-94ef-7b3d8b8a9d3a","1","<class-declaration>","Declares a C# class"
"1b5b9a87-9b4b-4d64-8720-3d7d8f3a6f5e","1","<record-declaration>","Declares a C# record or record struct"
"c81c5942-0918-42b4-bc4c-1b1c9e7192cb","1","<field-declaration>","Declares a field inside a class or struct"
"0e7a4a44-71d4-46cd-8bf1-ff7e1aa02a8d","1","<parameter-list>","Method or constructor parameter list"
"a8234b2e-17dc-4b18-9d6d-2f8ed2f4123c","1","<constructor-declaration>","Declares a constructor (block or expression body)"
"cb1f3a32-bf40-4b35-97cf-36e5c8b08e31","1","<method-declaration>","Declares a method (block or expression body)"
