PhiloteId,Comment
ff743cde-3760-4f8f-aa73-7e22399520f3,Instantiation of Create DataForTests Template (YAML) snippet rule
ad53413f-363e-4163-93f6-e48af564de1d,Instantiation of Check and populate simple parameter snippet rule
fb3e11f0-3477-48a1-995d-4a142958b5a8,Instantiation of Check and populate simple parameter as Type snippet rule
ed4cee01-d859-4d65-9c24-aafcf84e6701,Instantiation of Check and populate Deep parameter snippet rule
729df80e-43a1-4393-83a9-8149b54b3ad7,Instantiation of Check and populate Deep parameter as Type snippet rule
38481cc3-7dd6-4233-9057-275282271552,Instantiation of New-Cmdlet with String as primary input snippet rule
b2329076-9ae8-4e7f-88d7-8297c4fc92ec,Instantiation of Create Pester Test Template snippet rule
580fc7ea-ea74-4be6-a4dc-7468193442de,Instantiation of Create DataForTests Template (PS) snippet rule
b6bedbc3-113e-445d-a542-1fd356b472b7,Instantiation of ConfigRootKey snippet rule
a1d43a35-1d24-4fcd-87c1-f56ec4620672,Instantiation of Log Debug snippet rule
9201ed36-c22a-40f0-8adc-713d5b7d2bd9,Instantiation of Throw Message snippet rule
151aa5b1-5356-42df-808d-c456f717082a,Instantiation of Try-Catch-Finally snippet rule
bee05f53-f4bd-4121-8cea-0b9158c0017a,Instantiation of Iterate ArrayList snippet rule
7b130358-7e3a-4db1-b556-5b738513da03,Instantiation of Iterate HashTable snippet rule
003dc4be-df93-4f9a-af7b-61a60f3a4f0b,Instantiation of PublicDatabaseAccess snippet rule
943607d1-f8e4-413a-9b7c-8dae83352628,Instantiation of PrivateDatabaseAccess snippet rule
974378cd-6a76-4dcd-a105-037dea8d7f27,Instantiation of FileParser snippet rule
