PhiloteId,PrimitiveLanguageKindId,Name,Purpose,SourceFileReference
f9a8b7c6-5d4e-3f2a-1b0c-9d8e7f6a5b4c,5,Create DataForTests Template (YAML),Template for a Pester DataForTests.yaml file containing test case definitions,C:\Dropbox\whertzing\GitHub\SharedVSCode\UserSnippetsYAML.jsonc
a2b3c4d5-6e7f-8a9b-0c1d-2e3f4a5b6c7d,5,Check and populate simple parameter,Check and populate the value of a cmdlet parameter using Get-PVal from $global:settings,C:\Dropbox\whertzing\GitHub\SharedVSCode\UserSnippetsPowershell.jsonc
b3c4d5e6-7f8a-9b0c-1d2e-3f4a5b6c7d8e,5,Check and populate simple parameter as Type,Check and populate a parameter with explicit type casting via Get-PVal -AsType,C:\Dropbox\whertzing\GitHub\SharedVSCode\UserSnippetsPowershell.jsonc
c4d5e6f7-8a9b-0c1d-2e3f-4a5b6c7d8e9f,5,Check and populate Deep parameter,Check and populate a parameter from an arbitrary settings hash table,C:\Dropbox\whertzing\GitHub\SharedVSCode\UserSnippetsPowershell.jsonc
d5e6f7a8-9b0c-1d2e-3f4a-5b6c7d8e9f0a,5,Check and populate Deep parameter as Type,Check and populate a parameter from an arbitrary settings hash with type casting,C:\Dropbox\whertzing\GitHub\SharedVSCode\UserSnippetsPowershell.jsonc
e6f7a8b9-0c1d-2e3f-4a5b-6c7d8e9f0a1b,5,New-Cmdlet with String as primary input,Complete cmdlet template with string pipeline input aligned with logging/error handling rules,C:\Dropbox\whertzing\GitHub\SharedVSCode\UserSnippetsPowershell.jsonc
f7a8b9c0-1d2e-3f4a-5b6c-7d8e9f0a1b2c,5,Create Pester Test Template,Comprehensive Pester 5+ test script with optional external data file loading (PS1/YAML/JSON),C:\Dropbox\whertzing\GitHub\SharedVSCode\UserSnippetsPowershell.jsonc
a8b9c0d1-2e3f-4a5b-6c7d-8e9f0a1b2c3d,5,Create DataForTests Template (PS),PowerShell array-based test data structure for Pester's -TestCases / -ForEach,C:\Dropbox\whertzing\GitHub\SharedVSCode\UserSnippetsPowershell.jsonc
b9c0d1e2-3f4a-5b6c-7d8e-9f0a1b2c3d4e,5,ConfigRootKey,Boilerplate for accessing configuration keys from $global:ConfigRootKeys,C:\Dropbox\whertzing\GitHub\SharedVSCode\UserSnippetsPowershell.jsonc
c0d1e2f3-4a5b-6c7d-8e9f-0a1b2c3d4e5f,5,Log Debug,PSFramework debug-level logging statement,C:\Dropbox\whertzing\GitHub\SharedVSCode\UserSnippetsPowershell.jsonc
d1e2f3a4-5b6c-7d8e-9f0a-1b2c3d4e5f6a,5,Throw Message,Code block to log error message optional stack trace then rethrow exception preserving call stack,C:\Dropbox\whertzing\GitHub\SharedVSCode\UserSnippetsPowershell.jsonc
e2f3a4b5-6c7d-8e9f-0a1b-2c3d4e5f6a7b,5,Try-Catch-Finally,Complete try-catch-finally block with logging and stack trace preservation,C:\Dropbox\whertzing\GitHub\SharedVSCode\UserSnippetsPowershell.jsonc
f3a4b5c6-7d8e-9f0a-1b2c-3d4e5f6a7b8c,5,Iterate ArrayList,Iterate elements of a .NET ArrayList using index-based loop,C:\Dropbox\whertzing\GitHub\SharedVSCode\UserSnippetsPowershell.jsonc
a4b5c6d7-8e9f-0a1b-2c3d-4e5f6a7b8c9d,5,Iterate HashTable,Iterate over all keys in a HashTablewith conditional processing pattern,C:\Dropbox\whertzing\GitHub\SharedVSCode\UserSnippetsPowershell.jsonc
b5c6d7e8-9f0a-1b2c-3d4e-5f6a7b8c9d0e,5,PublicDatabaseAccess,Enterprise-grade public database access cmdlet with integrated security and vault authentication,C:\Dropbox\whertzing\GitHub\SharedVSCode\UserSnippetsPowershell.jsonc
c6d7e8f9-0a1b-2c3d-4e5f-6a7b8c9d0e1f,5,PrivateDatabaseAccess,Private function template accepting an open SqlConnection for data processing. Caller manages connection lifecycle,C:\Dropbox\whertzing\GitHub\SharedVSCode\UserSnippetsPowershell.jsonc
d7e8f9a0-1b2c-3d4e-5f6a-7b8c9d0e1f2a,5,FileParser,Boilerplate loop for line-by-line file parsing using StreamReader for memory-efficient processing,C:\Dropbox\whertzing\GitHub\SharedVSCode\UserSnippetsPowershell.jsonc
