InstantiationPhiloteId,InputName,InputValue
1939ccb3-057b-43d9-b15c-9392c1cba19e,Namespace,ATAP.Utilities.StronglyTypedIds.Interfaces
1939ccb3-057b-43d9-b15c-9392c1cba19e,FileName,IStronglyTypedIds.cs
1939ccb3-057b-43d9-b15c-9392c1cba19e,FilePath,src/ATAP.Utilities.StronglyTypedIds.Interfaces/IStronglyTypedIds.cs
0e09bbec-6d9d-4119-9006-c19ef9b7daed,Namespace,ATAP.Utilities.Philote.Interfaces
0e09bbec-6d9d-4119-9006-c19ef9b7daed,FileName,IPhilote.cs
0e09bbec-6d9d-4119-9006-c19ef9b7daed,FilePath,src/ATAP.Utilities.Philote.Interfaces/IPhilote.cs
de81d964-9afc-4b22-afbb-a2afc353937b,Namespace,ATAP.Utilities.StronglyTypedIds
de81d964-9afc-4b22-afbb-a2afc353937b,FileName,StronglyTypedIds.cs
de81d964-9afc-4b22-afbb-a2afc353937b,FilePath,src/ATAP.Utilities.StronglyTypedIds/StronglyTypedIds.cs
e45c66f3-2ad8-41fe-bf6d-f47a72ca0c4c,Namespace,ATAP.Utilities.Philote
e45c66f3-2ad8-41fe-bf6d-f47a72ca0c4c,FileName,Philote.cs
e45c66f3-2ad8-41fe-bf6d-f47a72ca0c4c,FilePath,src/ATAP.Utilities.Philote/ATAP.Utilities.Philote.CSharp/Philote.cs
08873a6e-201e-4529-b564-cecc24d6e927,Namespace,ATAP.Utilities.Philote
08873a6e-201e-4529-b564-cecc24d6e927,FileName,ActivatorReplacement.cs
08873a6e-201e-4529-b564-cecc24d6e927,FilePath,src/ATAP.Utilities.Philote/ATAP.Utilities.Philote.CSharp/ActivatorReplacement.cs
1d50fa71-644e-46de-838a-d27abe57c16a,Namespace,ATAP.Utilities.StronglyTypedId.JsonConverter.Shim.SystemTextJson
1d50fa71-644e-46de-838a-d27abe57c16a,FileName,StronglyTypedIdJsonConverterSystemTextJson.cs
1d50fa71-644e-46de-838a-d27abe57c16a,FilePath,src/ATAP.Utilities.StronglyTypedId/JsonConverter.Shim.SystemTextJson/StronglyTypedIdJsonConverterSystemTextJson.cs
9444a632-5fe6-4150-8c75-28dfab06f7db,Namespace,ATAP.Utilities.Philote.JsonConverter.Shim.SystemTextJson
9444a632-5fe6-4150-8c75-28dfab06f7db,FileName,JsonConverter.Shim.SystemTextJson.cs
9444a632-5fe6-4150-8c75-28dfab06f7db,FilePath,src/ATAP.Utilities.Philote/JsonConverter.Shim.SystemTextJson/JsonConverter.Shim.SystemTextJson.cs
