InstantiationPhiloteId,InputName,InputValue
9e75e55e-6214-4f2f-94c1-e2bd89722e5d,ProjectName,ATAP.Utilities.StronglyTypedIds.Interfaces
9e75e55e-6214-4f2f-94c1-e2bd89722e5d,FilePath,src/ATAP.Utilities.StronglyTypedIds.Interfaces/ATAP.Utilities.StronglyTypedIds.Interfaces.csproj
12ff5708-3c77-4f14-afd5-a5af865a9f6f,ProjectName,ATAP.Utilities.StronglyTypedIds
12ff5708-3c77-4f14-afd5-a5af865a9f6f,FilePath,src/ATAP.Utilities.StronglyTypedIds/ATAP.Utilities.StronglyTypedIds.csproj
177f5b16-b693-4a63-89ae-f732fad91265,ProjectName,ATAP.Utilities.Philote.Interfaces
177f5b16-b693-4a63-89ae-f732fad91265,FilePath,src/ATAP.Utilities.Philote.Interfaces/ATAP.Utilities.Philote.Interfaces.csproj
d6f31996-1d7c-4350-a94b-bc525c87dace,ProjectName,ATAP.Utilities.Philote
d6f31996-1d7c-4350-a94b-bc525c87dace,FilePath,src/ATAP.Utilities.Philote/ATAP.Utilities.Philote.CSharp/ATAP.Utilities.Philote.csproj
95204ea0-ed40-45db-81f5-0feb1eb31736,ProjectName,ATAP.Utilities.StronglyTypedId
95204ea0-ed40-45db-81f5-0feb1eb31736,FilePath,src/ATAP.Utilities.StronglyTypedId/ATAP.Utilities.StronglyTypedId.csproj
12ea4297-d74f-44fd-b245-2cfbfe48d80d,ProjectName,ATAP.Utilities.StronglyTypedId.Interfaces
12ea4297-d74f-44fd-b245-2cfbfe48d80d,FilePath,src/ATAP.Utilities.StronglyTypedId/Interfaces/ATAP.Utilities.StronglyTypedId.Interfaces.csproj
d4b19694-38e0-40f3-8947-2e17b88a1f33,ProjectName,ATAP.Utilities.StronglyTypedId.Models
d4b19694-38e0-40f3-8947-2e17b88a1f33,FilePath,src/ATAP.Utilities.StronglyTypedId/Models/ATAP.Utilities.StronglyTypedId.Models.csproj
69653f08-b533-4cbd-967f-68d1493a8017,ProjectName,ATAP.Utilities.StronglyTypedId.JsonConverter.Shim.SystemTextJson
69653f08-b533-4cbd-967f-68d1493a8017,FilePath,src/ATAP.Utilities.StronglyTypedId/JsonConverter.Shim.SystemTextJson/ATAP.Utilities.StronglyTypedId.JsonConverter.Shim.SystemTextJson.csproj
857f59b0-c734-4a28-975b-3c9799b323f5,ProjectName,ATAP.Utilities.Philote
857f59b0-c734-4a28-975b-3c9799b323f5,FilePath,src/ATAP.Utilities.Philote/ATAP.Utilities.Philote.csproj
bb3ea83d-1f5a-4300-b8bc-9cbaaf97cb8d,ProjectName,ATAP.Utilities.Philote.DefaultConfiguration
bb3ea83d-1f5a-4300-b8bc-9cbaaf97cb8d,FilePath,src/ATAP.Utilities.Philote/DefaultConfiguration/ATAP.Utilities.Philote.DefaultConfiguration.csproj
54f34812-5b42-4638-932c-72d0fae1e432,ProjectName,ATAP.Utilities.Philote.Models
54f34812-5b42-4638-932c-72d0fae1e432,FilePath,src/ATAP.Utilities.Philote/Models/ATAP.Utilities.Philote.Models.csproj
5edf1de7-ebd8-42f9-abe5-54598785fe7d,ProjectName,ATAP.Utilities.Philote.Interfaces
5edf1de7-ebd8-42f9-abe5-54598785fe7d,FilePath,src/ATAP.Utilities.Philote/Interfaces/ATAP.Utilities.Philote.Interfaces.csproj
b0e79a86-60a7-4947-b467-0cce93c01040,ProjectName,ATAP.Utilities.Philote.JsonConverter.Shim.SystemTextJson
b0e79a86-60a7-4947-b467-0cce93c01040,FilePath,src/ATAP.Utilities.Philote/JsonConverter.Shim.SystemTextJson/ATAP.Utilities.Philote.JsonConverter.Shim.SystemTextJson.csproj
d22dcd35-5699-4c89-82fb-d40d8d1e5064,ProjectName,ATAP.Utilities.Philote.Converters.Interfaces
d22dcd35-5699-4c89-82fb-d40d8d1e5064,FilePath,src/ATAP.Utilities.Philote/Converters.Interfaces.Save/ATAP.Utilities.Philote.Converters.Interfaces.csproj
