PhiloteId,Comment
9e75e55e-6214-4f2f-94c1-e2bd89722e5d,Instantiation of ATAP.Utilities.StronglyTypedIds.Interfaces.csproj rule
12ff5708-3c77-4f14-afd5-a5af865a9f6f,Instantiation of ATAP.Utilities.StronglyTypedIds.csproj rule
177f5b16-b693-4a63-89ae-f732fad91265,Instantiation of ATAP.Utilities.Philote.Interfaces.csproj (old) rule
d6f31996-1d7c-4350-a94b-bc525c87dace,Instantiation of ATAP.Utilities.Philote.csproj rule
95204ea0-ed40-45db-81f5-0feb1eb31736,Instantiation of ATAP.Utilities.StronglyTypedId.csproj aggregator rule
12ea4297-d74f-44fd-b245-2cfbfe48d80d,Instantiation of ATAP.Utilities.StronglyTypedId.Interfaces.csproj rule
d4b19694-38e0-40f3-8947-2e17b88a1f33,Instantiation of ATAP.Utilities.StronglyTypedId.Models.csproj rule
69653f08-b533-4cbd-967f-68d1493a8017,Instantiation of ATAP.Utilities.StronglyTypedId.JsonConverter.Shim.SystemTextJson.csproj rule
857f59b0-c734-4a28-975b-3c9799b323f5,Instantiation of ATAP.Utilities.Philote.csproj aggregator rule
bb3ea83d-1f5a-4300-b8bc-9cbaaf97cb8d,Instantiation of ATAP.Utilities.Philote.DefaultConfiguration.csproj rule
54f34812-5b42-4638-932c-72d0fae1e432,Instantiation of ATAP.Utilities.Philote.Models.csproj rule
5edf1de7-ebd8-42f9-abe5-54598785fe7d,Instantiation of ATAP.Utilities.Philote.Interfaces.csproj (sub-folder) rule
b0e79a86-60a7-4947-b467-0cce93c01040,Instantiation of ATAP.Utilities.Philote.JsonConverter.Shim.SystemTextJson.csproj rule
d22dcd35-5699-4c89-82fb-d40d8d1e5064,Instantiation of ATAP.Utilities.Philote.Converters.Interfaces.csproj rule
