InstantiationPhiloteId,InputName,InputValue
4d5e6f7a-8b9c-0d1e-2f3a-4b5c6d7e8f9a,Drive,C:
4d5e6f7a-8b9c-0d1e-2f3a-4b5c6d7e8f9a,PathTail,Dropbox\whertzing\GitHub\ATAP.Utilities
4d5e6f7a-8b9c-0d1e-2f3a-4b5c6d7e8f9a,PathType,Absolute
4d5e6f7a-8b9c-0d1e-2f3a-4b5c6d7e8f9a,FullPath,C:\Dropbox\whertzing\GitHub\ATAP.Utilities
7b2c5d6e-4f3a-4b8c-9d01-2b3c4d5e6f70,Drive,C:
7b2c5d6e-4f3a-4b8c-9d01-2b3c4d5e6f70,PathTail,Dropbox\whertzing\GitHub\ATAP.Utilities-wt-96-sprint-0005-work-items\src\ATAP.Utilities.Secrets\ATAP.Utilities.Secrets.csproj
7b2c5d6e-4f3a-4b8c-9d01-2b3c4d5e6f70,PathType,Absolute
7b2c5d6e-4f3a-4b8c-9d01-2b3c4d5e6f70,FullPath,C:\Dropbox\whertzing\GitHub\ATAP.Utilities-wt-96-sprint-0005-work-items\src\ATAP.Utilities.Secrets\ATAP.Utilities.Secrets.csproj
de040453-47d6-4d08-a1b5-a0ac6a0c324b,Drive,C:
de040453-47d6-4d08-a1b5-a0ac6a0c324b,PathTail,Dropbox\whertzing\GitHub\ATAP.Utilities
de040453-47d6-4d08-a1b5-a0ac6a0c324b,PathType,Absolute
de040453-47d6-4d08-a1b5-a0ac6a0c324b,FullPath,C:\Dropbox\whertzing\GitHub\ATAP.Utilities
f843860a-300f-424a-b478-e8d6e3af2530,Drive,C:
f843860a-300f-424a-b478-e8d6e3af2530,PathTail,Dropbox\whertzing\GitHub\ATAP.Utilities\src
f843860a-300f-424a-b478-e8d6e3af2530,PathType,Absolute
f843860a-300f-424a-b478-e8d6e3af2530,FullPath,C:\Dropbox\whertzing\GitHub\ATAP.Utilities\src
fafafdcd-5162-4789-a233-2c3e38fe3382,Drive,C:
fafafdcd-5162-4789-a233-2c3e38fe3382,PathTail,Dropbox\whertzing\GitHub\ATAP.Utilities\src\ATAP.Utilities.PowerShell
fafafdcd-5162-4789-a233-2c3e38fe3382,PathType,Absolute
fafafdcd-5162-4789-a233-2c3e38fe3382,FullPath,C:\Dropbox\whertzing\GitHub\ATAP.Utilities\src\ATAP.Utilities.PowerShell
06119f59-a999-410e-99dd-d4b4beba3085,Drive,C:
06119f59-a999-410e-99dd-d4b4beba3085,PathTail,Dropbox\whertzing\GitHub\ATAP.Utilities\src\ATAP.Utilities.PowerShell\public
06119f59-a999-410e-99dd-d4b4beba3085,PathType,Absolute
06119f59-a999-410e-99dd-d4b4beba3085,FullPath,C:\Dropbox\whertzing\GitHub\ATAP.Utilities\src\ATAP.Utilities.PowerShell\public
cb89a672-18d0-4433-9a63-23370a60b6ad,Drive,C:
cb89a672-18d0-4433-9a63-23370a60b6ad,PathTail,Dropbox\whertzing\GitHub\ATAP.Utilities\src\ATAP.Utilities.PowerShell\public\Write-ArrayIndented.ps1
cb89a672-18d0-4433-9a63-23370a60b6ad,PathType,Absolute
cb89a672-18d0-4433-9a63-23370a60b6ad,FullPath,C:\Dropbox\whertzing\GitHub\ATAP.Utilities\src\ATAP.Utilities.PowerShell\public\Write-ArrayIndented.ps1
