PhiloteId,Comment
d1e2f3a4-5b6c-7d8e-9f0a-1b2c3d4e5f6a,<path> - Top-level path routing primitive
e2f3a4b5-6c7d-8e9f-0a1b-2c3d4e5f6a7b,<unc-path> - UNC network path primitive
f3a4b5c6-7d8e-9f0a-1b2c-3d4e5f6a7b8c,<absolute-path> - Absolute local path primitive
a4b5c6d7-8e9f-0a1b-2c3d-4e5f6a7b8c9d,<relative-path> - Relative path primitive
b5c6d7e8-9f0a-1b2c-3d4e-5f6a7b8c9d0e,<extended-path> - Extended-length path primitive
c6d7e8f9-0a1b-2c3d-4e5f-6a7b8c9d0e1f,<drive> - Drive letter with colon primitive
d7e8f9a0-1b2c-3d4e-5f6a-7b8c9d0e1f2a,<path-tail> - Recursive path segments primitive
e8f9a0b1-2c3d-4e5f-6a7b-8c9d0e1f2a3b,<name> - File or directory name primitive
f9a0b1c2-3d4e-5f6a-7b8c-9d0e1f2a3b4c,<namechar> - Valid path character primitive
a0b1c2d3-4e5f-6a7b-8c9d-0e1f2a3b4c5d,<server> - UNC server name primitive
b1c2d3e4-5f6a-7b8c-9d0e-1f2a3b4c5d6e,<share> - UNC share name primitive
c2d3e4f5-6a7b-8c9d-0e1f-2a3b4c5d6e7f,<letter> - Alphabetic drive letter primitive
