InstantiationPhiloteId,InputName,InputValue
e834c990-2f92-48a6-ad7f-2875e5af8396,FunctionName,Build-ImageFromPlantUML
e834c990-2f92-48a6-ad7f-2875e5af8396,FileName,Build-ImageFromPlantUML.ps1
e834c990-2f92-48a6-ad7f-2875e5af8396,FilePath,src/ATAP.Utilities.BuildTooling.PowerShell/public/Build-ImageFromPlantUML.ps1
cf5f50ed-cb63-4d25-a975-83f5dd4f3015,FunctionName,Test-PowerShellSyntax
cf5f50ed-cb63-4d25-a975-83f5dd4f3015,FileName,check-syntax.ps1
cf5f50ed-cb63-4d25-a975-83f5dd4f3015,FilePath,src/ATAP.Utilities.BuildTooling.PowerShell/public/check-syntax.ps1
f9c0dcb5-67a4-4af5-a0d1-58731c8950db,FunctionName,New-MCPServerJunction
f9c0dcb5-67a4-4af5-a0d1-58731c8950db,FileName,Create-MCPJunction.ps1
f9c0dcb5-67a4-4af5-a0d1-58731c8950db,FilePath,src/ATAP.Utilities.BuildTooling.PowerShell/public/Create-MCPJunction.ps1
3710da2c-a0bd-43b5-a5ba-116aee83f7db,FunctionName,Get-RepositoryRoot
3710da2c-a0bd-43b5-a5ba-116aee83f7db,FileName,Get-RepositoryRoot.ps1
3710da2c-a0bd-43b5-a5ba-116aee83f7db,FilePath,src/ATAP.Utilities.BuildTooling.PowerShell/public/Get-RepositoryRoot.ps1
98407929-ec12-450a-9725-69b8b12d4109,FunctionName,Remove-ObjAndBinSubDirectories
98407929-ec12-450a-9725-69b8b12d4109,FileName,Remove-ObjAndBinSubDirectories.ps1
98407929-ec12-450a-9725-69b8b12d4109,FilePath,src/ATAP.Utilities.BuildTooling.PowerShell/public/Remove-ObjAndBinSubDirectories.ps1
52a1e6f4-7c72-40de-89b7-bc8026833c0c,FunctionName,Sync-RulesToCSV
52a1e6f4-7c72-40de-89b7-bc8026833c0c,FileName,Sync-RulesToCSV.ps1
52a1e6f4-7c72-40de-89b7-bc8026833c0c,FilePath,src/ATAP.Utilities.BuildTooling.PowerShell/public/Sync-RulesToCSV.ps1
ee4ce73b-8f4d-42a2-a8fe-681b312df6d9,FunctionName,Read-SourceAndCreateRules
ee4ce73b-8f4d-42a2-a8fe-681b312df6d9,FileName,Read-SourceAndCreateRules.ps1
ee4ce73b-8f4d-42a2-a8fe-681b312df6d9,FilePath,src/ATAP.Utilities.BuildTooling.PowerShell/public/Read-SourceAndCreateRules.ps1
