PhiloteId,PrimitiveLanguageKindId,Name,Description
d1e2f3a4-5b6c-7d8e-9f0a-1b2c3d4e5f6a,6,<path>,Top-level path primitive routing to UNC/absolute/relative/extended paths
e2f3a4b5-6c7d-8e9f-0a1b-2c3d4e5f6a7b,6,<unc-path>,Universal Naming Convention path for network resources (\\server\share\path)
f3a4b5c6-7d8e-9f0a-1b2c-3d4e5f6a7b8c,6,<absolute-path>,Absolute path with drive letter or root directory (C:\path or \path)
a4b5c6d7-8e9f-0a1b-2c3d-4e5f6a7b8c9d,6,<relative-path>,Relative path from current working directory
b5c6d7e8-9f0a-1b2c-3d4e-5f6a7b8c9d0e,6,<extended-path>,Extended-length path with \\?\ prefix for paths exceeding MAX_PATH
c6d7e8f9-0a1b-2c3d-4e5f-6a7b8c9d0e1f,6,<drive>,Drive letter followed by colon (e.g. C: D: Z:)
d7e8f9a0-1b2c-3d4e-5f6a-7b8c9d0e1f2a,6,<path-tail>,Recursive path segment structure (folder\subfolder\file)
e8f9a0b1-2c3d-4e5f-6a7b-8c9d0e1f2a3b,6,<name>,File or directory name with reserved name validation
f9a0b1c2-3d4e-5f6a-7b8c-9d0e1f2a3b4c,6,<namechar>,Valid path character excluding \ / : * ? " < > |
a0b1c2d3-4e5f-6a7b-8c9d-0e1f2a3b4c5d,6,<server>,UNC server name (hostname/FQDN/IP address)
b1c2d3e4-5f6a-7b8c-9d0e-1f2a3b4c5d6e,6,<share>,UNC share name identifying shared resource
c2d3e4f5-6a7b-8c9d-0e1f-2a3b4c5d6e7f,6,<letter>,Alphabetic drive letter character (A-Z or a-z)
