PhiloteId,Comment
f9a8b7c6-5d4e-3f2a-1b0c-9d8e7f6a5b4c,Snippet Rule: Create DataForTests Template (YAML)
a2b3c4d5-6e7f-8a9b-0c1d-2e3f4a5b6c7d,Snippet Rule: Check and populate simple parameter
b3c4d5e6-7f8a-9b0c-1d2e-3f4a5b6c7d8e,Snippet Rule: Check and populate simple parameter as Type
c4d5e6f7-8a9b-0c1d-2e3f-4a5b6c7d8e9f,Snippet Rule: Check and populate Deep parameter
d5e6f7a8-9b0c-1d2e-3f4a-5b6c7d8e9f0a,Snippet Rule: Check and populate Deep parameter as Type
e6f7a8b9-0c1d-2e3f-4a5b-6c7d8e9f0a1b,Snippet Rule: New-Cmdlet with String as primary input
f7a8b9c0-1d2e-3f4a-5b6c-7d8e9f0a1b2c,Snippet Rule: Create Pester Test Template
a8b9c0d1-2e3f-4a5b-6c7d-8e9f0a1b2c3d,Snippet Rule: Create DataForTests Template (PS)
b9c0d1e2-3f4a-5b6c-7d8e-9f0a1b2c3d4e,Snippet Rule: ConfigRootKey
c0d1e2f3-4a5b-6c7d-8e9f-0a1b2c3d4e5f,Snippet Rule: Log Debug
d1e2f3a4-5b6c-7d8e-9f0a-1b2c3d4e5f6a,Snippet Rule: Throw Message
e2f3a4b5-6c7d-8e9f-0a1b-2c3d4e5f6a7b,Snippet Rule: Try-Catch-Finally
f3a4b5c6-7d8e-9f0a-1b2c-3d4e5f6a7b8c,Snippet Rule: Iterate ArrayList
a4b5c6d7-8e9f-0a1b-2c3d-4e5f6a7b8c9d,Snippet Rule: Iterate HashTable
b5c6d7e8-9f0a-1b2c-3d4e-5f6a7b8c9d0e,Snippet Rule: PublicDatabaseAccess
c6d7e8f9-0a1b-2c3d-4e5f-6a7b8c9d0e1f,Snippet Rule: PrivateDatabaseAccess
d7e8f9a0-1b2c-3d4e-5f6a-7b8c9d0e1f2a,Snippet Rule: FileParser
