ID,ParentID,PeerSortOrder,PrimitiveID,SymbolicName,ItemText
0,,,, _sym_Rule0,Rule 0
1,,0,,_sym_Rule1,Rule 1
2,,1,,_sym_Rule2,Rule 2
3,,0,,_sym_Rule3,Rule 3
4,,1,,_sym_Rule4,Rule 4
5,,0,,_sym_Rule5,Rule 5
6,,2,,_sym_Rule6,Rule 6
7,,1,,_sym_Rule7,Rule 7
8,,0,,_sym_Rule8,Rule 8
9,,0,,_sym_Rule9,Rule 9
10,9,1,,_sym_Rule10,Rule 10
11,,, _sym_Rule11,Rule 11
12,11,,_sym_Rule12,Rule 12
13,11,0,,_sym_Rule13,Rule 13
14,13,0,,_sym_Rule14,Rule 14
15,13,1,,_sym_Rule15,Rule 15
16,,1,,_sym_Rule16,Rule 16
17,16,1,,_sym_Rule17,Rule 17
18,17,1,,_sym_Rule18,Rule 18
19,,0,,_sym_Rule19,Rule 19
20,,0,,_sym_Rule20,Rule 20
21,,1,,_sym_Rule21,Rule 21
22,,0,,_sym_Rule22,Rule 22
23,21,,_sym_Rule23,Rule 23
24,19,1,,_sym_Rule24,Rule 24
25,20,1,,_sym_Rule25,Rule 25
26,22,3,,_sym_Rule26,Rule 26
27,22,2,,_sym_Rule27,Rule 27
28,22,1,,_sym_Rule28,Rule 28
29,22,0,,_sym_Rule29,Rule 29


